original_annotation,new_annotation
DNA gyrase subunit A,DNA gyrase subunit A protein
Glucose kinase,Glucose kinase (EC 2.7.1.2)
ATP-dependent Clp protease ATP-binding subunit ClpX,ATP-dependent Clp protease ATP-binding subunit ClpX (EC 3.4.24.-)
RecA protein,RecA recombinase
"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing"
DNA polymerase III subunit alpha,DNA polymerase III subunit alpha protein
Phosphoglucosamine mutase,Phosphoglucosamine mutase (EC 5.4.2.10)
Thioredoxin,Thioredoxin protein
50S ribosomal protein L10,50S ribosomal protein L10 (rplJ)
Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12)
Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49)
Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9)
Glutaredoxin 3 (Grx3),Glutaredoxin 3
"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
Cell division protein FtsZ,Cell division protein FtsZ (EC 3.4.24.-)
DNA primase,DNA primase (EC 2.7.7.101)
Glycerol kinase,Glycerol kinase (EC 2.7.1.30)
Serine/threonine protein kinase,Serine/threonine-protein kinase
Peptidyl-tRNA hydrolase,Peptidyl-tRNA hydrolase (EC 3.1.1.29)
NADH dehydrogenase subunit 1,NADH dehydrogenase subunit 1 (EC 7.1.1.2)
Phosphoserine phosphatase,Phosphoserine phosphatase (EC 3.1.3.3)
Histidine biosynthesis protein HisF,Histidine biosynthesis protein HisF (EC 4.3.2.10)
Phage capsid protein,"Phage capsid protein, HK97 family"
DNA mismatch repair protein MutL,DNA mismatch repair protein MutL (EC 3.6.-.-)
Argininosuccinate synthase,Argininosuccinate synthase (EC 6.3.4.5)
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (EC 5.4.2.11)"
Alanine racemase,Alanine racemase (EC 5.1.1.1)
Succinate--CoA ligase [ADP-forming] subunit alpha,Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5)
Phage portal protein,Phage portal (connector) protein
Deoxyribose-phosphate aldolase,Deoxyribose-phosphate aldolase (EC 4.1.2.4)
Biotin carboxyl carrier protein of acetyl-CoA carboxylase,Biotin carboxyl carrier protein of acetyl-CoA carboxylase (AccB)
DNA ligase (NAD+),DNA ligase (NAD+) (EC 6.5.1.2)
6-phosphofructokinase,6-phosphofructokinase (EC 2.7.1.11)
D-alanyl-D-alanine carboxypeptidase,D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)
Phosphopantetheine adenylyltransferase,Phosphopantetheine adenylyltransferase (EC 2.7.7.3)
Threonyl-tRNA synthetase,Threonyl-tRNA synthetase (EC 6.1.1.3)
Acetate kinase,Acetate kinase (EC 2.7.2.1)
Triosephosphate isomerase,Triosephosphate isomerase (EC 5.3.1.1)
Phosphoglucosamine mutase,Phosphoglucosamine mutase (EC 5.4.2.10)
Thiol peroxidase,Thiol peroxidase (EC 1.11.1.15)
DNA-directed RNA polymerase subunit alpha,RNA polymerase alpha subunit
Catalase,Catalase (EC 1.11.1.6)
Beta-galactosidase,LacZ beta-galactosidase
ATP synthase gamma chain (EC 3.6.3.14),ATP synthase gamma chain (EC 7.1.2.2)
Tryptophan synthase beta chain,TrpB protein
DNA topoisomerase I (EC 5.99.1.3),DNA topoisomerase I (EC 5.6.2.2)
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3),"NADH-quinone oxidoreductase (EC 7.1.1.2), subunit F"
NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3),"NADH-quinone oxidoreductase (EC 7.1.1.2), subunit G"
Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent"
Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb"
Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family"
Cytochrome O ubiquinol oxidase subunit I (EC 1.10.3.-),"Cytochrome bo(3) ubiquinol oxidase (EC 7.1.1.3), subunit 1"
Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-),"Cytochrome bo(3) ubiquinol oxidase (EC 7.1.1.3), subunit 2"
NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12),Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) (EC 1.2.1.12)
Multidrug resistance protein MdtH,Uncharacterized MFS-type transporter YajR
"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)",6-phosphogluconate dehydrogenase [decarboxylating] (EC 1.1.1.44)
Malate:quinone oxidoreductase (EC 1.1.5.4),Malate dehydrogenase (quinone) (EC 1.1.5.4)
Inositol-1-monophosphatase (EC 3.1.3.25),Nus factor SuhB @ Inositol-1-monophosphatase (EC 3.1.3.25)
tRNA-specific adenosine-34 deaminase (EC 3.5.4.33),tRNA adenosine(34) deaminase (EC 3.5.4.33)
Chaperone protein DnaK,Heat shock protein 70
Outer membrane protein A,OmpA protein
