gene_id,annotation_a,annotation_b,label,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The two annotations describe the same phage terminase large subunit with an intein present, with the only difference being a capitalization change (""intein-containing"" to ""Intein-containing""). This is a minor formatting update and does not alter the underlying biological function or specificity, which aligns with minor formatting differences allowed under the EXACT classification guidelines"
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"Both annotations describe the identical protein entity, with the change merely being a capitalization adjustment (""intein-containing"" to ""Intein-containing""). No additional functional or nomenclature differences exist, aligning with minor formatting differences recognized as EXACT in established database curation standards"
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Exact,"The updated annotation simply adds the word ""protein"" to the original term ""Phage tail fiber,"" which is a minimal formatting change that does not alter the identity or function of the biological entity. This aligns with standard database conventions where the addition of ""protein"" is common for clarity without changing the underlying function"
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Both annotations refer to the same phage tail protein, with only minor reordering and punctuation changes. The original ""Phage tail length tape-measure protein T"" and the updated ""Phage tail, tail length tape-measure protein"" use equivalent nomenclature to describe the protein involved in determining phage tail length, following standard conventions in phage protein annotation"
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Exact,"The updated annotation simply appends ""protein"" to the original term, which is a common formatting enhancement to denote that the entity is a protein. In established database conventions like SwissProt and UniProt, such differences in phrasing (e.g., ""Phage tail fiber"" vs. ""Phage tail fiber protein"") are considered equivalent as they describe the same biological entity with only minor formatting changes"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"The updated annotation simply adds the precise enzyme classification (EC 3.6.4.12) to the original ""Phage DNA helicase"" without changing the fundamental identity or function of the protein. According to established nomenclature standards, adding a matching EC number that exactly corresponds to the helicase activity reinforces the specific enzymatic function rather than altering it, aligning with practices seen in curated databases like SwissProt and UniProt"
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"The updated annotation adds the EC number ""3.6.4.12"" to the original ""Phage DNA helicase,"" which explicitly identifies the same enzyme activity using an established enzyme classification system. This is a standard practice in biological databases (e.g., SwissProt) to provide additional specificity without altering the underlying biological entity, and it matches the guideline where the addition of an EC number for the same function is considered an EXACT match"
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Narrower,"The updated annotation specifies the precise enzymatic activity—N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)—which details the specific target bond in the peptidoglycan, whereas the original ""Phage endolysin"" is a broader term covering various enzymes that lyse bacterial cell walls. The inclusion of the EC number and substrate specificity makes the updated version a subset of the broader original function"
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Unknown,
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,"The updated annotation employs a minor nomenclatural change by replacing ""lysin"" with ""endolysin"" and adding the EC number (3.5.1.28), which precisely identifies the enzyme's catalytic activity. Both annotations describe the same protein function—namely, a phage lysin (endolysin) that hydrolyzes the N-acetylmuramoyl-L-alanine bond in the bacterial cell wall. This aligns with database standards, where such slight naming variations and EC number additions reflect the same biological entity"
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Exact,"The updated annotation simply adds the word ""protein"" to the original label without changing the biological entity, which is consistent with minor formatting differences accepted by standard nomenclature conventions in curated databases"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Both annotations describe the same phage tail tape-measure protein with only minor formatting changes; the rearrangement (addition of a comma and removal of the terminal ""T"") represents a trivial nomenclature variation consistent with database style updates without altering the underlying biological function"
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,"Both annotations refer to the same enzyme as evidenced by the matched EC number (1.1.1.49) and enzyme function. The updated annotation simply specifies the cofactor (NADP+), which is a minor formatting detail consistent with database conventions, without altering the enzyme's identity"
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Broader,The updated annotation expands on the original by including Fe(II) import in addition to Mn(II) transport and explicitly stating the mechanism as proton-dependent. This additional substrate specificity and mechanistic detail
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Narrower,"The original annotation ""hypothetical protein"" is non-informative and does not imply any specific function, whereas the updated annotation ""Outer membrane beta-barrel assembly protein BamD"" specifies a well-defined role in the assembly of beta-barrel proteins in the outer membrane. This update moves from a vague, general description to precise functional identification according to standard biological nomenclature and database conventions, thus narrowing the description to a specific protein within a known complex"
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"Both annotations refer to the same enzyme, Enoyl-[acyl-carrier-protein] reductase with a reliance on NADH as the cofactor, as evidenced by the identical EC number (1.3.1.9). The differences are purely stylistic (use of square brackets versus parentheses), representing a minor formatting adjustment without any change in biological function or specificity"
