gene_id,annotation_a,annotation_b,label,evidence,duo_conflict,votes
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities are identical, as they both refer to the same concept of the phage terminase large subunit that contains an intein.",False,Exact;Exact
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities are identical, as they both refer to the same concept of the phage terminase large subunit that contains an intein.",False,Exact;Exact
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage tail, which may include various proteins, while the latter specifically refers to the protein(s) that make up the tail fiber.",False,Broader;Broader
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both entities refer to the same concept of a protein involved in determining the length of the phage tail, using slightly different wording.",False,Synonym;Synonym
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage tail, which may include multiple proteins, while the latter specifically refers to the protein(s) that make up the tail fiber.",False,Broader;Broader
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both entities refer to the same enzyme, Phage DNA helicase, with the same Enzyme Commission number (EC 3.6.4.12), indicating they are functionally equivalent.",False,Exact;Exact
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both entities refer to the same enzyme, Phage DNA helicase, with the same Enzyme Commission number (EC 3.6.4.12), indicating they are functionally equivalent.",False,Exact;Exact
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,"Phage endolysin is a broader concept than Phage endolysin N-acetylmuramoyl-L-alanine amidase, as the latter is a specific type of phage endolysin with a defined enzymatic activity (EC 3.5.1.28).",False,Broader;Broader
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,"Both entities are types of homing endonucleases, but they are distinct subtypes associated with different biological contexts (HNH is a specific motif found in various homing endonucleases, while phage homing endonucleases are associated with bacteriophages).",False,Related;Related
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Synonym,"Both entities refer to the same enzyme, N-acetylmuramoyl-L-alanine amidase, which is a type of phage lysin or endolysin with the same EC number (3.5.1.28), indicating they are different terms for the same concept.",True,Synonym;Exact;Synonym
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Broader,"""Phage repressor"" is a broader concept than ""Phage repressor protein"" as the former can refer to the general function or role, while the latter specifies the protein form of the repressor.",False,Broader;Broader
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both entities refer to the same protein involved in determining the length of the phage tail, using slightly different phrasing.",False,Synonym;Synonym
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Synonym,"Both entities refer to the same enzyme, Glucose-6-phosphate 1-dehydrogenase, with the same Enzyme Commission number (EC 1.1.1.49), indicating they are different terms for the same concept.",False,Synonym;Synonym
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Synonym,"Both entities refer to the same protein, MntH, which is involved in the transport of Mn(II) and Fe(II) ions and is proton-dependent.",False,Synonym;Synonym
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,"'Hypothetical protein' is a general term for proteins predicted to exist based on genomic data but not yet characterized, while 'Outer membrane beta-barrel assembly protein BamD' is a specific, characterized protein involved in the assembly of beta-barrel proteins in the outer membrane of bacteria.",False,Different;Different
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"Both entities refer to the same enzyme, Enoyl-[acyl-carrier-protein] reductase, with the same EC number (1.3.1.9) and cofactor (NADH), indicating they are functionally equivalent.",False,Exact;Exact
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Synonym,"Both entities refer to the sulfate-binding protein involved in the sulfate/thiosulfate ABC transporter system, with slight variations in naming conventions.",True,Synonym;Related;Synonym
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,Entities are identical or functionally equivalent,False,Exact;Exact
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Exact,"Both entities refer to the same transcriptional activator, CysB, which is part of the LysR family.",False,Exact;Exact
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Different,"DNA topoisomerase I (EC 5.99.1.2) and DNA topoisomerase I (EC 5.6.2.1) refer to enzymes with different Enzyme Commission (EC) numbers, indicating distinct catalytic activities or functions.",False,Different;Different
fig|374463.4.peg.291,YciL protein,YciI protein,Different,"YciL protein and YciI protein are distinct proteins with different functions and characteristics, thus representing completely different concepts.",False,Different;Different
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Narrower,"Entity A represents a specific enzyme activity (EC 3.2.2.23), while Entity B includes both this activity and an additional one (EC 4.2.99.18), making A a narrower concept than B.",False,Narrower;Narrower
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Synonym,"Both entities refer to the same enzyme, with B providing an additional name (RluD) for the enzyme described in A.",False,Synonym;Synonym
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Synonym,"Both entities refer to the same enzyme, tRNA (guanine(37)-N(1))-methyltransferase, with EC number 2.1.1.228, and TrmD is an alternative name for this enzyme.",False,Synonym;Synonym
