gene_id,annotation_a,annotation_b,label,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities 'Phage terminase, large subunit @ intein-containing' and 'Phage terminase, large subunit @ Intein-containing' are identical in meaning and function. Both refer to the same biological concept, which is the large subunit of a phage terminase enzyme that contains an intein. The capitalization difference in 'intein-containing' does not alter the meaning or function of the entity, thus they are functionally equivalent.**"
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities ""Phage terminase, large subunit @ intein-containing"" and ""Phage terminase, large subunit @ Intein-containing"" are identical in meaning. Both refer to the same concept of a phage terminase large subunit that contains an intein. The only difference is the capitalization of 'intein,' which does not alter the meaning or function of the term. Therefore, they are functionally equivalent.**"
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein. The term ""phage tail fiber"" refers to the structural component of a bacteriophage, which is involved in recognizing and binding to host cells. It is composed of multiple proteins, including the phage tail fiber protein, which is one of the specific proteins that make up the tail fiber structure. Therefore, while the phage tail fiber protein is a part of the phage tail fiber, the latter encompasses the entire structure, including all its constituent proteins.**"
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"The entities 'Phage tail length tape-measure protein T' and 'Phage tail, tail length tape-measure protein' refer to the same concept, which is a protein involved in determining the length of the phage tail. The term 'Phage tail length tape-measure protein T' specifies the protein with the letter 'T', which is often used in scientific literature to denote a specific protein within a category. The second entity, 'Phage tail, tail length tape-measure protein', describes the same protein without the specific designation 'T', but both terms refer to the protein responsible for measuring the tail length in bacteriophages. Therefore, they are synonyms, as they describe the same biological function and entity.**"
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein. The term ""phage tail fiber"" refers to the structural component of a bacteriophage, which is a complex assembly that includes various proteins and possibly other molecular components. In contrast, ""phage tail fiber protein"" specifically refers to the protein(s) that make up the tail fiber structure. Therefore, while the tail fiber protein is a crucial part of the tail fiber, the term ""phage tail fiber"" encompasses the entire structure, which may include multiple proteins and other elements.**"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Phage DNA helicase and Phage DNA helicase (EC 3.6.4.12) refer to the same enzyme, with the latter specifying its Enzyme Commission (EC) number, which is a unique identifier for enzymes based on the chemical reactions they catalyze. The EC number 3.6.4.12 corresponds to DNA helicases, which are enzymes that unwind DNA strands, a function performed by phage DNA helicases. Therefore, these entities are functionally equivalent, with the EC number providing additional specificity but not altering the identity of the enzyme.**"
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Phage DNA helicase and Phage DNA helicase (EC 3.6.4.12) refer to the same enzyme, with the latter specifying its Enzyme Commission (EC) number, which is a unique identifier for enzymes based on the reactions they catalyze. The EC number 3.6.4.12 corresponds to DNA helicases, which are enzymes that unwind DNA strands, and the inclusion of this number does not change the identity or function of the enzyme. Therefore, these entities are functionally equivalent, with the EC number providing additional classification detail.**"
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,"Phage endolysin is a broader concept than Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28). Phage endolysins are enzymes produced by bacteriophages to degrade the bacterial cell wall, facilitating the release of new viral particles. They can have various enzymatic activities, including glycosidase, amidase, and endopeptidase activities. Phage endolysin N-acetylmuramoyl-L-alanine amidase is a specific type of phage endolysin that catalyzes the hydrolysis of the amide bond between N-acetylmuramoyl residues and L-alanine in the peptidoglycan of bacterial cell walls. Therefore, while all N-acetylmuramoyl-L-alanine amidases are phage endolysins, not all phage endolysins are N-acetylmuramoyl-L-alanine amidases.**"
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,"HNH homing endonuclease and Phage homing endonuclease are related entities as both are types of homing endonucleases, which are enzymes that recognize specific DNA sequences and introduce double-strand breaks. The HNH homing endonuclease is characterized by the presence of the HNH motif, a conserved sequence that is involved in the catalytic activity of the enzyme. Phage homing endonucleases, on the other hand, are a subset of homing endonucleases found in bacteriophages, which are viruses that infect bacteria. While phage homing endonucleases can include HNH endonucleases, they are not limited to this type and can encompass other motifs and structures. Therefore, while they share functional similarities and can overlap, they are not identical or synonymous, making them related but distinct entities.**"
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,"Phage lysin, N-acetylmuramoyl-L-alanine amidase and Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) refer to the same enzyme activity. Both entities describe an enzyme that cleaves the bond between N-acetylmuramoyl and L-alanine in bacterial cell walls, facilitating the lysis of bacterial cells by bacteriophages. The inclusion of the EC number (3.5.1.28) in entity B specifies the exact enzymatic activity, confirming that both entities are functionally equivalent and describe the same biochemical function.**"
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Broader,"The term ""Phage repressor"" refers to a general category of proteins that inhibit the expression of phage genes, typically involved in maintaining the lysogenic cycle of bacteriophages. ""Phage repressor protein,"" on the other hand, specifies a particular instance or type of protein within this broader category. The term ""protein"" indicates a specific molecular entity, whereas ""repressor"" can refer to the function or role within the phage lifecycle. Therefore, ""Phage repressor"" is a broader concept encompassing various proteins that perform this function, including the specific ""Phage repressor protein.""**"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"The entities 'Phage tail length tape-measure protein T' and 'Phage tail, tail length tape-measure protein' refer to the same concept, which is a protein involved in determining the length of the phage tail. The term 'Phage tail length tape-measure protein T' specifies the protein with the letter 'T', which is often used in scientific literature to denote a specific protein within a category. The second entity, 'Phage tail, tail length tape-measure protein', describes the same protein functionally, focusing on its role in the phage tail structure. Both terms describe the same protein involved in phage tail assembly and length determination, thus they are synonyms.**"
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,"Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49) and Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49) refer to the same enzyme, which is responsible for catalyzing the oxidation of glucose-6-phosphate to 6-phosphoglucono-δ-lactone while reducing NADP+ to NADPH. The EC number 1.1.1.49 is specific to this enzyme, indicating that both names describe the same biochemical activity and specificity for NADP+ as a cofactor. Therefore, they are functionally equivalent and represent the same entity.**"
