gene_id,annotation_a,annotation_b,relationship,similarity_Pubmedbert,evidence,duo_conflict,votes
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,1.0,"The entities are identical, as they both refer to the same concept of the phage terminase large subunit that is intein-containing, with only a minor variation in formatting.",False,Exact;Exact
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,1.0,"The entities are identical, as they refer to the same concept with only a minor typographical difference in capitalization.",False,Exact;Exact
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Broader,0.944,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage, while the latter specifies the protein that constitutes this structure.",False,Broader;Broader
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,0.952,"Both entities refer to the same protein involved in determining the length of the phage tail, indicating they are functionally equivalent.",True,Exact;Synonym;Exact
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Broader,0.944,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of a phage, while the latter specifies the protein that makes up this component.",False,Broader;Broader
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Narrower,0.716,"Phage DNA helicase (EC 3.6.4.12) is a specific classification of Phage DNA helicase, indicating a particular enzyme commission number, which makes it a narrower concept than the general term Phage DNA helicase.",True,Narrower;Exact;Narrower
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,0.716,"Both entities refer to the same enzyme, with B providing the Enzyme Commission (EC) number for specificity.",True,Exact;Narrower;Exact
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,0.576,"Phage endolysin is a broader concept than Phage endolysin N-acetylmuramoyl-L-alanine amidase, as the latter is a specific type of phage endolysin with a defined enzymatic activity (EC 3.5.1.28).",False,Broader;Broader
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,0.783,"Both entities are types of homing endonucleases, which are enzymes that cut DNA at specific sites, but they are associated with different biological contexts (HNH refers to a specific motif, while phage refers to the source organism).",False,Related;Related
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,0.867,"Both entities refer to the same enzyme, N-acetylmuramoyl-L-alanine amidase, which is a type of phage lysin or endolysin with the same EC number (3.5.1.28), indicating they are functionally equivalent.",True,Exact;Synonym;Exact
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Narrower,0.926,"""Phage repressor"" is a broader term that can refer to any repressor involved in phage regulation, while ""Phage repressor protein"" specifies the protein form of the repressor, making it a narrower concept.",False,Narrower;Narrower
