gene_id,annotation_a,annotation_b,relationship,similarity_Pubmedbert,evidence,duo_conflict,votes
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,0.0,"The entities are identical, as they both refer to the same concept of a phage terminase large subunit that is intein-containing, with only a minor variation in formatting.",False,Exact;Exact
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,0.0,"The entities are identical, as they both refer to the same concept of a phage terminase large subunit that is intein-containing, with only a minor typographical difference in formatting.",False,Exact;Exact
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Broader,0.0,"""Phage tail fiber"" is a broader concept than ""Phage tail fiber protein"" as the former refers to the structural component of a phage, which may include various proteins, while the latter specifies a particular protein within that structure.",False,Broader;Broader
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,0.0,"Both entities refer to the same protein involved in determining the length of the phage tail, specifically the tape-measure protein T.",True,Exact;Synonym;Exact
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Broader,0.0,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage tail, which may include various proteins, while the latter specifically refers to the protein(s) that make up the tail fiber.",False,Broader;Broader
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,0.0,"The entities are identical, as both refer to the same enzyme, Phage DNA helicase, with the same EC number (3.6.4.12) indicating the same specific enzymatic function.",False,Exact;Exact
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,0.0,"Both entities refer to the same enzyme, with B providing the Enzyme Commission (EC) number for specificity.",False,Exact;Exact
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,0.0,"Phage endolysin is a broader concept than Phage endolysin N-acetylmuramoyl-L-alanine amidase, which is a specific type of phage endolysin with a defined enzymatic activity (EC 3.5.1.28).",False,Broader;Broader
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,0.0,"Both entities are types of homing endonucleases, but they are distinct subtypes associated with different biological contexts (HNH domain and phage).",False,Related;Related
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,0.0,"Both entities refer to the same enzyme, N-acetylmuramoyl-L-alanine amidase, which is a type of phage lysin or endolysin with the same EC number (3.5.1.28), indicating they are functionally equivalent.",False,Exact;Exact
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Broader,0.0,"""Phage repressor"" is a broader concept than ""Phage repressor protein,"" as the latter specifies the protein form of the repressor, while the former could refer to the function or role of the repressor in general.",False,Broader;Broader
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,0.0,"Both entities refer to the same concept, which is the tape-measure protein involved in determining the length of the phage tail.",True,Exact;Synonym;Synonym
