gene_id,annotation_a,annotation_b,label,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,identical protein annotation with only capitalization formatting differences
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,Only case difference; functional annotation unchanged
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Exact,Minor naming update; both refer to same phage tail fiber
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Minor reordering, identical functional meaning in phage tail protein"
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Exact,"Only added ""protein"" with no change in entity or function"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,Updated with appended EC number; same phage DNA helicase activity
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,Same protein function with added EC number annotation
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Narrower,Updated annotation becomes specific amidase (EC 3.5.1.28) function within phage endolysin
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Unknown,
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,Both refer to the same phage amidase (EC 3.5.1.28) enzyme
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Exact,"Minor addition ""protein"" without functional change"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,names refer to identical protein; just reordering and punctuation differences
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,EC number is identical; NADP+ detail is a minor formatting enhancement
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Broader,updated covers additional Fe(II) transport beyond manganese specificity
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,0.0,"  [FALLBACK—LLM failed: LLM annotation failed: Client error '400 Bad Request' for url 'https://apps-dev.inside.anl.gov/argoapi/api/v1/resource/chat/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400]"
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,formatting difference only; same enzyme with identical EC number
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Broader,Updated includes additional th
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,identical protein designation; minor formatting difference only
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Exact,Both refer to CysB transcriptional activator; extra LysR info only
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Synonym,same enzyme function; different updated EC numbers
fig|374463.4.peg.291,YciL protein,YciI protein,Different,Different letter designation implies distinct gene products
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Broader,"Updated annotation adds extra EC number, expanding enzymatic activities"
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Exact,"Both annotations denote the same enzyme with only an added alias ""RluD"""
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"Identical EC number and function; only alias ""TrmD"" added"
