gene_id,annotation_a,annotation_b,label,evidence,duo_conflict,votes
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"Both entities refer to the same phage terminase large subunit with an intein domain, differing only by capitalization.",False,Exact;Exact
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"Both labels refer to the same entity (a phage terminase large subunit with an intein), differing only in capitalization and formatting.",False,Exact;Exact
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,,,False,;
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Both terms refer to the same phage tail tape-measure protein, differing only in word order.",False,Exact;Exact
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,,,True,;Broader;
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both entities refer to the same enzyme, with B adding the formal EC classification (EC 3.6.4.12) but functionally equivalent to A.",False,Exact;Exact
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both labels refer to the same enzyme, with the ""EC 3.6.4.12"" designation providing a specific enzymatic classification without changing the underlying concept.",False,Exact;Exact
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,"""Phage endolysin"" is a general category of enzymes, while ""Phage endolysin",False,Broader;Broader
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,HNH homing,True,Related;;Related
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,"Both labels refer to the same enzyme with identical catalytic activity (EC 3.5.1.28), differing only in nomenclature.",True,Synonym;Exact;Exact
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Exact,Both terms refer to the same protein entity involved in phage gene regulation.,True,Exact;Synonym;Exact
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"The two terms essentially refer to the same phage tail tape-measure protein, with only slight wording differences.",False,Exact;Exact
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,Both names refer to the same enzyme (EC 1.1.1.49) with no functional or conceptual differences.,False,Exact;Exact
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Exact,"Both names refer to the same MntH protein, with the second providing additional detail (iron import and proton dependency) but essentially describing the same entity.",False,Exact;Exact
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,"One entity is a generic, uncharacterized protein (""hypothetical protein"") while the other is a specific, well-defined protein involved in outer",False,Different;Different
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"Both entities refer to the same enzyme (EC 1.3.1.9) with identical function, differing only in formatting.",False,Exact;Exact
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Different,0.0,"  [FALLBACK—LLM failed: Client error '400 Bad Request' for url 'https://apps-dev.inside.anl.gov/argoapi/api/v1/resource/chat/'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/400]",True,
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,"Both entities refer to the same protein, Glutaredoxin 3 (Grx3), making them identical.",False,Exact;Exact
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Exact,"Both entries refer to the same transcription factor, with B merely adding the detail that it belongs to the LysR family.",False,Exact;Exact
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),,,False,;
fig|374463.4.peg.291,YciL protein,YciI protein,Related,"Both proteins are distinct gene products that are likely part of the same operon or functional cluster, but they represent different entities rather than being identical, synonyms, or inclusive of one another.",False,Related;Related
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),,,True,;Narrower;Exact
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Exact,"Both entities refer to the same enzyme, with B providing an additional identifier (RluD), but they are functionally equivalent.",False,Exact;Exact
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"Both entities refer to the same enzyme (EC 2.1.1.228), with the second providing an additional name (""TrmD"") for clarity.",False,Exact;Exact
