gene_id,annotation_a,annotation_b,relationship,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"Both terms describe the same entity with identical wording, differing only in capitalization"
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The terms differ only in capitalization, which does not affect their meaning or classification in biological databases"
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Narrower,"""Phage tail fiber protein"" specifies the molecular nature of the ""Phage tail fiber,"" indicating it is a protein component"
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Both terms describe the same protein involved in determining the length of the phage tail, with slight variation in phrasing"
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Narrower,"""Phage tail fiber protein"" specifies the molecular nature of the ""Phage tail fiber,"" indicating it is a protein component"
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"The addition of the EC number (3.6.4.12) specifies the enzymatic activity of the phage DNA helicase, but both terms refer to the same enzyme function"
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both terms refer to the same enzyme with the same EC number, indicating identical function and classification"
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Narrower,Phage endolysin N-acetylmuramoyl-L-alanine amidase specifies a particular enzymatic activity (EC 3.5.1.28) within the broader category of phage endolysins
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,"Both terms describe homing endonucleases, but one specifies the HNH motif and the other specifies association with phages, indicating a contextual relationship"
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,"Both terms describe the same enzyme activity with the same EC number, indicating identical function and specificity"
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Exact,"Both terms refer to the same entity, a protein that represses phage gene expression, with 'protein' being an implicit aspect of 'repressor' in this context"
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Exact,"Both terms describe the same protein involved in determining the length of the phage tail, with slight variation in phrasing"
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Exact,"Both terms refer to the same enzyme with the same EC number, indicating they are identical in function and specificity"
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Narrower,"Term B specifies the ions transported and the mechanism (proton-dependent), while term A is more general"
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,"'Hypothetical protein' is a non-specific term used for predicted proteins without characterized function, while 'Outer membrane beta-barrel assembly protein BamD' is a specific protein with a defined role in membrane assembly"
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"Both terms refer to the same enzyme with identical EC numbers and cofactor specificity, differing only in punctuation"
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Related,"Both terms refer to sulfate-binding proteins involved in transport, but B specifies the inclusion in an ABC transporter system and mentions thiosulfate, indicating a broader context"
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,"Both terms refer to the same protein, with ""Grx3"" being a common abbreviation for ""Glutaredoxin 3"""
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Narrower,"B specifies the LysR family, providing more detail about the type of transcriptional activator"
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Different,"The EC numbers indicate distinct enzyme classifications, suggesting different catalytic mechanisms or substrate specificities"
fig|374463.4.peg.291,YciL protein,YciI protein,Uninformative,Both terms are gene/protein names that lack functional context or standardized nomenclature information
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Narrower,Term B includes an additional EC number indicating a broader range of enzymatic activities compared to Term A
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Synonym,"Both terms refer to the same enzyme with the same EC number and specific function, with 'RluD' being an alternative name"
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Exact,"Both terms refer to the same enzyme with identical EC numbers and the same specific function, including the common name TrmD"
