gene_id,annotation_a,annotation_b,label,evidence
fig|273133.2.peg.39,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities are identical, as they both refer to the same concept of the phage terminase large subunit that contains an intein."
fig|273133.2.peg.40,"Phage terminase, large subunit @ intein-containing","Phage terminase, large subunit @ Intein-containing",Exact,"The entities are identical, as they both refer to the same concept of the phage terminase large subunit that contains an intein."
fig|273133.2.peg.157,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage tail, which may include various proteins, while the latter specifically refers to the protein(s) that make up the tail fiber."
fig|273133.2.peg.54,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both entities refer to the same protein involved in determining the length of the phage tail, using slightly different phrasing."
fig|273133.2.peg.156,Phage tail fiber,Phage tail fiber protein,Broader,"Phage tail fiber is a broader concept than phage tail fiber protein, as the former refers to the structural component of the phage tail, while the latter specifically refers to the protein that makes up this structure."
fig|273133.2.peg.166,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both entities refer to the same enzyme, with B providing the Enzyme Commission number for specificity."
fig|273133.2.peg.76,Phage DNA helicase,Phage DNA helicase (EC 3.6.4.12),Exact,"Both entities refer to the same enzyme, Phage DNA helicase, with the same Enzyme Commission number (EC 3.6.4.12), indicating they are functionally equivalent."
fig|273133.2.peg.183,Phage endolysin,Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Broader,"Phage endolysin is a broader concept that includes various types of enzymes, including phage endolysin N-acetylmuramoyl-L-alanine amidase, which is a specific type of endolysin with a defined enzymatic activity (EC 3.5.1.28)."
fig|273133.2.peg.185,HNH homing endonuclease,Phage homing endonuclease,Related,"HNH homing endonuclease and Phage homing endonuclease are related as they both refer to types of homing endonucleases, but one specifies a structural motif (HNH) and the other specifies the source (phage)."
fig|273133.2.peg.188,"Phage lysin, N-acetylmuramoyl-L-alanine amidase",Phage endolysin N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28),Exact,"Both entities refer to the same enzyme, N-acetylmuramoyl-L-alanine amidase, which is a type of phage lysin or endolysin with the same EC number (3.5.1.28), indicating they are functionally equivalent."
fig|273133.2.peg.1,Phage repressor,Phage repressor protein,Broader,"""Phage repressor"" is a broader concept that can include various types of repressor proteins, while ""Phage repressor protein"" specifically refers to the protein form of a phage repressor."
fig|273133.2.peg.193,Phage tail length tape-measure protein T,"Phage tail, tail length tape-measure protein",Synonym,"Both entities refer to the same protein involved in determining the length of the phage tail, using slightly different phrasing."
fig|374463.4.peg.296,Glucose-6-phosphate 1-dehydrogenase (EC 1.1.1.49),Glucose-6-phosphate 1-dehydrogenase (NADP+) (EC 1.1.1.49),Synonym,"Both entities refer to the same enzyme, Glucose-6-phosphate 1-dehydrogenase, with the same EC number, indicating they are different terms for the same concept."
fig|374463.4.peg.298,Manganese transport protein MntH,"Mn(II) and Fe(II) import protein MntH, proton-dependent",Synonym,"Both entities refer to the same protein, MntH, which is involved in the transport of Mn(II) and Fe(II) ions and is proton-dependent."
fig|374463.4.peg.181,hypothetical protein,Outer membrane beta-barrel assembly protein BamD,Different,"""Hypothetical protein"" refers to a protein predicted to exist based on genomic data but not yet characterized, while ""Outer membrane beta-barrel assembly protein BamD"" is a specific, characterized protein involved in the assembly of beta-barrel proteins in the outer membrane of bacteria."
fig|374463.4.peg.282,Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9),Enoyl-[acyl-carrier-protein] reductase (NADH) (EC 1.3.1.9),Exact,"Both entities refer to the same enzyme, Enoyl-[acyl-carrier-protein] reductase, with the same EC number (1.3.1.9) and cofactor (NADH), indicating they are functionally equivalent."
fig|374463.4.peg.161,Sulfate-binding protein Sbp,"Sulfate/thiosulfate ABC transporter, sulfate-binding protein Spb",Synonym,"Both entities refer to the sulfate-binding protein involved in the sulfate/thiosulfate ABC transporter system, with slight variations in naming conventions."
fig|374463.4.peg.166,Glutaredoxin 3 (Grx3),Glutaredoxin 3,Exact,"Entities are identical as they refer to the same protein, Glutaredoxin 3."
fig|374463.4.peg.288,Cys regulon transcriptional activator CysB,"Cys regulon transcriptional activator CysB, LysR family",Exact,"Both entities refer to the same transcriptional activator, CysB, which is part of the LysR family."
fig|374463.4.peg.289,DNA topoisomerase I (EC 5.99.1.2),DNA topoisomerase I (EC 5.6.2.1),Different,"DNA topoisomerase I (EC 5.99.1.2) and DNA topoisomerase I (EC 5.6.2.1) refer to enzymes with different Enzyme Commission (EC) numbers, indicating distinct catalytic activities or functions."
fig|374463.4.peg.291,YciL protein,YciI protein,Different,"YciL protein and YciI protein are distinct proteins with different functions and characteristics, thus they are completely different concepts."
fig|374463.4.peg.170,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23) (EC 4.2.99.18),Narrower,"Entity A represents a specific enzyme activity (EC 3.2.2.23), while Entity B includes both this activity and an additional one (EC 4.2.99.18), making A a narrower concept than B."
fig|374463.4.peg.182,LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23),LSU rRNA pseudouridine(1911/1915/1917) synthase (EC 5.4.99.23) ## RluD,Synonym,"Both entities refer to the same enzyme, with B providing an alternative name (RluD) for the enzyme described in A."
fig|374463.4.peg.185,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228),tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228) ## TrmD,Synonym,"Both entities refer to the same enzyme, with B providing an alternative name (TrmD) for the enzyme described in A."
